Model,Features,ACEInhibitors,ADHD,Antihistamines,Atypical Antipsychotics,Beta Blockers,Calcium Channel Blockers,Estrogens,NSAIDs,Opioids,Oral Hypoglycemics,Proton PumpInhibitors,Skeletal Muscle Relaxants,Statins,Triptans,Urinary Incontinence,COPD ,Proton Beam,Micro Nutrients ,PFOA/PFOS,Bisphenol A (BPA) ,Fluoride and neurotoxicity
DAE-FF,All features,0.785,0.639,0.275,0.19,0.462,0.347,0.369,0.735,0.58,0.123,0.299,0.286,0.487,0.412,0.483,0.665,0.812,0.663,0.713,0.78,0.806
DAE-FF,Title and Abstract,0.709,0.5,0.168,0.221,0.451,0.337,0.358,0.679,0.513,0.129,0.291,0.327,0.434,0.253,0.531,0.665,0.81,0.648,0.839,0.754,0.838
DAE-FF,Abstract only,0.658,0.404,0.265,0.23,0.39,0.297,0.331,0.69,0.499,0.107,0.153,0.43,0.392,0.32,0.482,0.676,0.79,0.665,0.847,0.715,0.758
DAE-FF,Title only,0.806,0.651,0.016,0.046,0.408,0.137,0.145,0.658,0.28,0.019,0.285,0.125,0.255,0.199,0.372,0.677,0.799,0.677,0.696,0.631,0.726
Multi-Channel CNN,All features,0.367,0.704,0.135,0.081,0.399,0.069,0.083,0.601,0.249,0.013,0.129,0.3,0.283,0.44,0.18,0.128,0.357,0.199,0.305,0.369,0.808
Multi-Channel CNN,Title and Abstract,0.461,0.528,0.204,0.086,0.243,0.083,0.076,0.443,0.42,0.021,0.121,0.329,0.231,0.404,0.161,0.372,0.489,0.255,0.405,0.3,0.688
Multi-Channel CNN,Abstract only,0.648,0.692,0.114,0.05,0.134,0.004,0.051,0.358,0.413,0.004,0.059,0.242,0.12,0.407,0.046,0.087,0.408,0.251,0.391,0.612,0.654
Multi-Channel CNN,Title only,0.525,0.58,0.105,0.013,0.211,0.117,0.092,0.225,0.287,0.005,0.118,0.202,0.082,0.129,0.099,0.093,0.559,0.268,0.109,0.182,0.452
fastText classifier,All features,0.783,0.424,0.047,0.218,0.419,0.178,0.306,0.62,0.559,0.098,0.283,0.09,0.409,0.21,0.439,0.312,0.733,0.608,0.779,0.637,0.39
fastText classifier,Title and Abstract,0.776,0.47,0.124,0.188,0.419,0.139,0.199,0.506,0.558,0.049,0.228,0.142,0.376,0.205,0.31,0.553,0.761,0.602,0.796,0.63,0.375
fastText classifier,Abstract only,0.765,0.444,0.175,0.185,0.407,0.06,0.108,0.512,0.534,0.042,0.174,0.18,0.281,0.211,0.17,0.546,0.771,0.605,0.778,0.499,0.292
fastText classifier,Title only,0.441,0.2,0.192,0.095,0.262,0.244,0.241,0.535,0.245,0.016,0.36,0.21,0.228,0.075,0.434,0.545,0.771,0.601,0.292,0.079,0.25
